bnf_name,bnf_code,dose_per_unit,quantity,total_ome
Tramadol 100mg modified-release capsules,040702040AAAHAH,100.0,75084638.0,750846380.0
Dihydrocodeine 90mg modified-release tablets,0407020G0AAAEAE,90.0,14076260.0,126686340.0
Morphine sulfate 10mg/5ml oral solution,0407020Q0AACNCN,2.0,2544378007.0,5088756014.0
Morphine 30mg modified-release tablets,0407020Q0AAALAL,30.0,33766209.0,1012986270.0
Tramadol 37.5mg / Paracetamol 325mg tablets,040702040AAAUAU,37.5,56424977.0,211593663.75
Tramadol 50mg modified-release tablets,040702040AAAYAY,50.0,32381183.0,161905915.0
Co-dydramol 10mg/500mg tablets,0407010N0AAAAAA,10.0,1559070535.0,1559070535.0
Buprenorphine 10micrograms/hour transdermal patches,0407020B0AAAIAI,1.68,8484250.0,1425353988.6
Tramadol 100mg modified-release tablets,040702040AAACAC,100.0,62741634.0,627416340.0
Co-codamol 30mg/500mg capsules,0407010F0AAADAD,30.0,1377365336.0,4132096008.0
Buprenorphine 20micrograms/hour transdermal patches,0407020B0AAAJAJ,3.36,4434231.0,1489901604.08
Co-codamol 15mg/500mg tablets,0407010F0AAAKAK,15.0,866070337.0,1299105505.5
Codeine 30mg tablets,0407020C0AAAEAE,30.0,1813534360.0,5440603080.0
Dihydrocodeine 30mg tablets,0407020G0AAACAC,30.0,923663554.0,2770990662.0
Co-codamol 15mg/500mg capsules,0407010F0AAAVAV,15.0,149831527.0,224747290.5
Oramorph 10mg/5ml oral solution,0407020Q0BCAGCN,2.0,1554514404.5,3109028809.0
Tramadol 200mg modified-release capsules,040702040AAAJAJ,200.0,27426418.0,548528360.0
Zomorph 60mg modified-release capsules,0407020Q0BKACEH,60.0,50157262.0,3009435720.0
Fencino 25micrograms/hour transdermal patches,0407020A0BQABAE,1.8,3734322.0,672177954.62
Tramadol HCl_Tab 150mg M/R,040702040AAADAD,150.0,7161861.0,107427915.0
Zomorph_Cap 10mg,0407020Q0BKAAEF,10.0,71223172.0,712231720.0
OxyNorm_Cap 10mg,0407020ADBBADAD,10.0,9527779.0,142916685.0
Tramadol HCl_Tab 100mg M/R,040702040AAACAC,100.0,67386217.0,673862170.0
Co-Codamol Eff_Tab 8mg/500mg,0407010F0AAACAC,8.0,198609367.0,158887493.6
Co-Codamol_Tab 12.8mg/500mg,0407010F0AAAPAP,12.8,1947866.0,2493268.48
Tylex_Cap 30mg/500mg,0407010F0BEAAAD,30.0,36219659.0,108658977.0
Tramadol HCl_Cap 100mg M/R,040702040AAAHAH,100.0,71310166.0,713101660.0
Methadone HCl_Tab 5mg,0407020M0AAAEAE,5.0,20302351.0,304535265.0
Tylex_Tab Eff 30mg/500mg,0407010F0BEABAF,30.0,5458075.0,16374225.0
Buprenorphine_Patch 5mcg/hr (7day),0407020B0AAAHAH,0.84,4480285.0,376343936.99
Fentanyl_Transdermal Patch 12mcg/hr,0407020A0AAAUAU,0.864,4186581.0,361720595.51
Oramorph_Oral Soln 10mg/5ml,0407020Q0BCAGCN,2.0,616879283.0,1233758566.0
OxyNorm_Oral Soln 5mg/5ml S/F,0407020ADBBAAAA,1.0,50263451.0,75395176.5
Oxycodone HCl_Tab 10mg M/R,0407020ADAAAFAF,10.0,24189216.0,362838240.0
Morph Sulph_Tab 10mg M/R,0407020Q0AAAKAK,10.0,28682706.0,286827060.0
Tramadol HCl_Tab Solb 50mg S/F,040702040AAAFAF,50.0,9254006.0,46270030.0
Co-Codamol_Cap 30mg/500mg,0407010F0AAADAD,30.0,554394627.0,1663183881.0
Matrifen_Patch 25mcg/hr,0407020A0BEABAE,1.8,2006754.0,361215717.11
Buprenorphine_Patch 10mcg/hr (7day),0407020B0AAAIAI,1.68,4746436.0,797401241.62
Zomorph_Cap 60mg,0407020Q0BKACEH,60.0,13836911.0,830214660.0
Mst Continus_Tab 30mg,0407020Q0BBABAL,30.0,30442211.0,913266330.0
Dihydrocodeine Tart_Tab 120mg M/R,0407020G0AAAFAF,120.0,10443098.0,125317176.0
Meptazinol HCl_Tab 200mg,0407020L0AAABAB,200.0,19754342.0,118526052.0
Dihydrocodeine Tart_Tab 30mg,0407020G0AAACAC,30.0,532070939.0,1596212817.0
Co-Dydramol_Tab 10mg/500mg,0407010N0AAAAAA,10.0,1145205459.0,1145205459.0
Oxycodone HCl_Tab 15mg M/R,0407020ADAAASAS,15.0,937780.0,21100050.0
Co-Codamol_Tab 15mg/500mg,0407010F0AAAKAK,15.0,351619904.0,527429856.0
Oxycodone HCl_Cap 10mg,0407020ADAAADAD,10.0,16208420.0,243126300.0
Kapake_Tab 30mg/500mg,0407010F0BHAAAH,30.0,29380223.0,88140669.0
Cyclimorph 10_Inj 1ml Amp,040702020BBAAAA,10.0,32309.0,646180.0
Matrifen_Patch 12mcg/hr,0407020A0BEAAAU,0.864,1700835.0,146952142.82
Mst Continus_Tab 60mg,0407020Q0BBACAI,60.0,12351291.0,741077460.0
Zomorph_Cap 30mg,0407020Q0BKABEG,30.0,34683527.0,1040505810.0
Oxycodone HCl_Tab 20mg M/R,0407020ADAAAGAG,20.0,21752187.0,652565610.0
Oxycodone HCl_Cap 5mg,0407020ADAAACAC,5.0,17953755.0,134653162.5
Solpadol_Capl 30mg/500mg,0407010F0BGABAH,30.0,39497216.0,118491648.0
Co-Codamol_Cap 15mg/500mg,0407010F0AAAVAV,15.0,20133801.0,30200701.5
Morph Sulf_Tab 15mg M/R,0407020Q0AACFCF,15.0,838658.0,12579870.0
OxyNorm_Cap 5mg,0407020ADBBACAC,5.0,10011138.0,75083535.0
Sevredol_Tab 20mg,0407020Q0BHADCE,20.0,5224368.0,104487360.0
Targinact_Tab 10mg/5mg M/R,0407020AFBBAAAA,10.0,2045187.0,30677805.0
Morph Sulph_Tab 30mg M/R,0407020Q0AAALAL,30.0,15162344.0,454870320.0
Tapentadol HCl_Tab 50mg,0407020AGAAAAAA,50.0,1009058.0,20181160.0
Oxycodone HCl_Oral Soln 5mg/5ml S/F,0407020ADAAAAAA,1.0,81024745.0,121537117.5
OxyContin_Tab 60mg M/R,0407020ADBCAGAQ,60.0,614372.0,55293480.0
Tramadol HCl_Cap 50mg M/R,040702040AAAGAG,50.0,32205797.0,161028985.0
Codipar_Capl 15mg/500mg,0407010F0BVAAAK,15.0,4534336.0,6801504.0
Dihydrocodeine Tart_Tab 40mg,0407020G0AAAIAI,40.0,6543293.0,26173172.0
Buprenorphine_Tab Subling 200mcg S/F,0407020B0AAABAB,0.2,18097591.0,217171092.0
Dihydrocodeine Tart_Tab 60mg M/R,0407020G0AAADAD,60.0,35183552.0,211101312.0
Co-Codamol_Tab 30mg/500mg,0407010F0AAAHAH,30.0,2305856753.0,6917570259.0
BuTrans_Transdermal Patch 10mcg/hr,0407020B0BEABAI,1.68,1913910.0,321536877.43
Co-Codamol_Tab 8mg/500mg,0407010F0AAAAAA,8.0,1359640369.0,1087712295.2
Co-Proxamol_Tab 32.5mg/325mg,0407010Q0AAAAAA,32.5,74977440.0,243676680.0
Co-Codamol Eff_Tab 30mg/500mg,0407010F0AAAFAF,30.0,272821271.0,818463813.0
Co-Codamol_Tab Eff 15mg/500mg S/F,0407010F0AAAWAW,15.0,4522466.0,6783699.0
Mst Continus_Tab 5mg,0407020Q0BBAKCG,5.0,6687955.0,33439775.0
Oxycodone HCl/Naloxone HCl_Tab 10/5mgM/R,0407020AFAAAAAA,10.0,3862354.0,57935310.0
Kapake_Cap 30mg/500mg,0407010F0BHADAD,30.0,10418348.0,31255044.0
Codeine Phos_Tab 15mg,0407020C0AAADAD,15.0,322698550.0,484047825.0
Tramadol HCl_Tab 50mg M/R,040702040AAAYAY,50.0,10796878.0,53984390.0
Morph Sulph_Tab 20mg,0407020Q0AACECE,20.0,3170738.0,63414760.0
Morph Sulf_Cap 10mg M/R,0407020Q0AAEFEF,10.0,4242098.0,42420980.0
Morph Sulf_Inj 10mg/1ml Amp,0407020Q0AAABAB,10.0,408790.0,8175800.0
Solpadol_Tab Eff 30mg/500mg,0407010F0BGAAAF,30.0,52068814.0,156206442.0
OxyContin_Tab 80mg M/R,0407020ADBCADAI,80.0,3344516.0,401341920.0
Codeine Phos_Tab 30mg,0407020C0AAAEAE,30.0,673110800.0,2019332400.0
Morph Sulph_Tab 10mg,0407020Q0AACDCD,10.0,8033166.0,80331660.0
Morph Sulph_Cap 10mg M/R,0407020Q0AAEFEF,10.0,12592223.0,125922230.0
Diamorph HCl_Inj 10mg Amp,0407020K0AAABAB,10.0,1650751.0,49522530.0
Fentanyl_Loz 200mcg,0407020A0AAAIAI,0.2,1034599.0,26899574.0
Tapentadol HCl_Tab 50mg M/R,0407020AGAAACAC,50.0,1191222.0,23824440.0
Zomorph_Cap 100mg,0407020Q0BKADEB,100.0,5049178.0,504917800.0
OxyNorm liquid 5mg/5ml oral solution,0407020ADBBAAAA,1.0,148652481.0,222978721.5
OxyContin 10mg modified-release tablets,0407020ADBCAAAF,10.0,11867993.0,178019895.0
Co-codamol 12.8mg/500mg tablets,0407010F0AAAPAP,12.8,2717839.0,3478833.92
Durogesic DTrans 50micrograms/hour transdermal patches,0407020A0BBAJAF,3.6,1792979.0,645472434.84
Tramadol 150mg modified-release capsules,040702040AAAIAI,150.0,11208666.0,168129990.0
Buprenorphine 5micrograms/hour transdermal patches,0407020B0AAAHAH,0.84,9020989.0,757763069.94
Tramadol 150mg modified-release tablets,040702040AAADAD,150.0,6950198.0,104252970.0
MST Continus 200mg tablets,0407020Q0BBAEAG,200.0,1074649.0,214929800.0
Oxycodone 10mg modified-release tablets,0407020ADAAAFAF,10.0,29699779.0,445496685.0
BuTrans 20micrograms/hour transdermal patches,0407020B0BEACAJ,3.36,1783826.0,599365531.21
Buprenorphine 52.5micrograms/hour transdermal patches,0407020B0AAAFAF,5.04,1315624.0,663074474.78
Longtec 10mg modified-release tablets,0407020ADBEABAF,10.0,47884017.0,718260255.0
Diamorphine 5mg powder for solution for injection ampoules,0407020K0AAAAAA,5.0,1829340.0,27440100.0
Reltebon 5mg modified-release tablets,0407020ADBKAAAK,5.0,1234305.0,9257287.5
Palexia SR 100mg tablets,0407020AGBBADAD,100.0,524423.0,20976920.0
Tapentadol 100mg modified-release tablets,0407020AGAAADAD,100.0,11055388.0,442215520.0
Fentanyl 37.5microgram/hour transdermal patches,0407020A0AABWBW,2.7,892954.0,241097578.07
Migraleve Yellow tablets,0407010F0BXAAAA,8.0,3582863.0,2866290.4
Methadone 5mg tablets,0407020M0AAAEAE,5.0,26443195.0,396647925.0
Co-codamol 30mg/500mg effervescent tablets,0407010F0AAAFAF,30.0,507933558.0,1523800674.0
Tylex 30mg/500mg effervescent tablets,0407010F0BEABAF,30.0,3122581.0,9367743.0
Fentanyl 50micrograms/hour transdermal patches,0407020A0AAAFAF,3.6,3168974.0,1140830630.87
BuTrans 10micrograms/hour transdermal patches,0407020B0BEABAI,1.68,2761047.0,463855892.29
Morphine 10mg modified-release tablets,0407020Q0AAAKAK,10.0,70760578.0,707605780.0
OxyContin 20mg modified-release tablets,0407020ADBCABAG,20.0,9629803.0,288894090.0
Zapain 30mg/500mg capsules,0407010F0BSABAD,30.0,219903062.0,659709186.0
